name,stars,review_count,latitude,longitude
Bite Squad,4.5,12,36.175,-115.136389
Psychic Eye Book Shops,4.0,9,36.0839363,-115.1194225
Gap,4.5,6,36.1184749,-115.1755707
Great Clips,2.5,10,36.0121499,-115.1533034
SuperPawn,2.5,3,36.099236,-115.047883
Linda Woodson Dermatology,2.5,20,36.211152,-115.24878
Chianti Cafe,3.5,9,36.1924136,-115.3043961
Terrible Herbst,1.5,3,36.100507,-115.113492
Boulder Station Hotel & Casino,3.0,139,36.133052,-115.0849016
Aqua Plumbing LLC,3.5,3,36.0761322,-115.0910413
Las Vegas Truck & Auto Salvage,4.0,6,36.195796,-115.1427327
Neil Smith's Vegas Guitars Custom Shop,5.0,6,36.083996,-115.19305
Petco,2.0,12,36.2040034,-115.1296249
Fatburger,3.0,13,36.197365,-115.191711
Discount Tire Store - North Las Vegas,5.0,25,36.2388898,-115.1783004
Sherry Goldstein's Yoga Sanctuary,4.5,9,36.0160686,-115.1176322
Pizza Hut,4.0,3,36.17311,-115.125401
Pilates By Dolly Eastside,5.0,3,36.0209487,-115.1306003
Fado Irish Pub,3.5,21,36.0174194,-115.1186131
Green Planet Landscaping,2.5,3,36.073882,-115.2203324
Nevada Foot Institute,1.5,3,36.158615,-115.07378
Mattress Firm,4.0,6,36.0210594,-115.1773913
Steinberg Diagnostic Medical Imaging,3.5,8,36.1361343,-115.1361908
Ear Nose & Throat Consultants of Nevada,2.5,14,36.0714488,-115.2777077
Desert Valley Pediatrics,2.5,19,36.180423,-115.316199
Natural Care Institute,5.0,5,36.0737884,-115.2434154
Shepherd Eye Center,3.5,11,36.1983778,-115.2833294
Nevada Eye & Ear,2.5,6,36.0753219,-115.2906628
Acme 2 Motorsports,3.5,3,36.1747195,-115.1542893
The Sci-Fi Center,5.0,10,36.124423,-115.146372
The Studio-A Fetish Boutique,5.0,6,36.1522814,-115.1621798
Paradise Electro Stimulations,4.5,4,36.1522814,-115.1621798
Artisan Hotel Boutique,3.5,329,36.1437574,-115.169723
